,active,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.properties.simil,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target
0,False,#8a6960,,,,,registered,False,725320,registered,2,4.94798860687,1,583363,118187
1,False,#8a6960,,,,,registered,False,737165,registered,2,4.94798860687,1,583363,186424
2,False,#8a6960,,,,,registered,False,740032,registered,2,4.94798860687,1,583363,114292
3,False,#8a6960,,,,,registered,False,745631,registered,2,4.94798860687,1,583363,195448
4,False,#8a6960,,,,,registered,False,766917,registered,2,4.94798860687,1,583363,211515
5,False,#8a6960,,,,,registered,False,770141,registered,2,4.94798860687,1,583363,225354
6,False,#baaba3,,,,,registered address,False,234808,registered address,2,4.94798860687,1,375778,523735
7,False,#baaba3,,,,,registered address,False,246629,registered address,2,4.94798860687,1,375777,523735
8,False,#baaba3,,,,,registered address,False,286853,registered address,2,4.94798860687,1,375783,547603
9,False,#baaba3,,,,,registered address,False,307286,registered address,2,4.94798860687,1,375781,523735
10,False,#baaba3,,,,,registered address,False,313595,registered address,2,4.94798860687,1,375780,523735
11,False,#d48a60,,,,1.0,has similar name and address as,False,348432,has similar name and address as,2,4.94798860687,1,375779,393287
12,False,#baaba3,,,,,registered address,False,818075,registered address,2,4.94798860687,1,375779,523735
13,False,#baaba3,,,,,registered address,False,834689,registered address,2,4.94798860687,1,375782,523735
14,False,#baaba3,,,,,registered address,False,863290,registered address,2,4.94798860687,1,375776,514762
15,False,#baaba3,,,,,registered address,False,294613,registered address,2,4.94798860687,1,393288,557142
16,False,#baaba3,,,,,registered address,False,820607,registered address,2,4.94798860687,1,393287,523734
17,False,#baaba3,,,,,registered address,False,301817,registered address,2,4.94798860687,1,388661,535773
18,False,#baaba3,,,,,registered address,False,243704,registered address,2,4.94798860687,1,396540,547594
19,False,#d48a60,,15/12/2008,Beneficial Owner,,is officer of,False,69483,Beneficial Owner,2,4.94798860687,1,667751,225354
20,False,#d48a60,,23/06/2010,Beneficial Owner,,is officer of,False,69484,Beneficial Owner,2,4.94798860687,1,667751,211515
21,False,#d48a60,,21/05/2007,Director,,is officer of,False,69485,Director,2,4.94798860687,1,667751,118187
22,False,#d48a60,,27/04/2009,Director,,is officer of,False,69486,Director,2,4.94798860687,1,667751,186424
23,False,#d48a60,07/06/2010,11/01/2010,Director / Shareholder,,is officer of,False,69487,Director / Shareholder,2,4.94798860687,1,667751,195448
24,False,#d48a60,,01/07/2010,Power of Attorney,,is officer of,False,69488,Power of Attorney,2,4.94798860687,1,667751,114292
25,False,#d48a60,,,Shareholder,,is officer of,False,430172,Shareholder,2,4.94798860687,1,393287,195448
26,False,#d48a60,,,Shareholder,,is officer of,False,430173,Shareholder,2,4.94798860687,1,393288,195448
27,False,#d48a60,,,Shareholder,,is officer of,False,429125,Shareholder,2,4.94798860687,1,396540,114292
28,False,#d48a60,,,Shareholder,,is officer of,False,560945,Shareholder,2,4.94798860687,1,388661,186424
29,False,#d48a60,,,Shareholder,,is officer of,False,21551,Shareholder,2,4.94798860687,1,375777,118187
30,False,#d48a60,,,Shareholder,,is officer of,False,21552,Shareholder,2,4.94798860687,1,375783,118187
31,False,#d48a60,,,Shareholder,,is officer of,False,21553,Shareholder,2,4.94798860687,1,375779,118187
32,False,#d48a60,,,Shareholder,,is officer of,False,21554,Shareholder,2,4.94798860687,1,375776,118187
33,False,#d48a60,,,Shareholder,,is officer of,,21555,Shareholder,2,4.94798860687,1,375780,118187
34,False,#d48a60,,,Shareholder,,is officer of,,21556,Shareholder,2,4.94798860687,1,375778,118187
35,False,#d48a60,,,Shareholder,,is officer of,False,21557,Shareholder,2,4.94798860687,1,375782,118187
36,False,#d48a60,,,Shareholder,,is officer of,,21558,Shareholder,2,4.94798860687,1,375781,118187
