,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.ceasedmembership,data.properties.certificateNumber,data.properties.citizenship,data.properties.city,data.properties.classification,data.properties.classofshares,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.custodianaddress,data.properties.custodianname,data.properties.dateofissue,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.newcertificate,data.properties.numbershares,data.properties.passport_copy,data.properties.pep,data.properties.prospect_date,data.properties.region,data.properties.registerlocation,data.properties.registrationDate,data.properties.rst,data.properties.sharestransferred,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.properties.transferdate,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.digest.2.edgeType,data.statistics.digest.2.edges,data.statistics.digest.2.nodeCategories.0,data.statistics.digest.2.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,size,x,y
0,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,519565,,,BVI,BARROW HILL LIMITED,,,,,,,,01-NOV-1996,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,2,4,True,0,0,2,True,top-right,#fff,,FontAwesome,1,76642,BARROW HILL LIMITED,True,-161.998,-112.78,5,-161.998,-112.78,8.17416382687,1054.17106919,69.2429727131,1,-161.998,-112.78
1,#be4400,#be4400,Officer,,,,3,YES,,,,,,,,,,,07-08-2008,,,,,MOSSACK FONSECA & CO. (B.V.I.) LTD.,,2,,NO,,,Akara Building   24 de Castro Street   Wickhams Cay I   Road Town   Tortola   British Virgin Islands,,NOT NEGATIVE RESULT,,,,,,has similar name and address as,15,Officer,15,registered address,1.0,Address,1.0,is officer of,20.0,Company,20.0,36,18,18,True,0,0,18,True,top-right,#fff,,FontAwesome,1,302740,MOSSACK FONSECA & CO. (B.V.I.) LTD.,True,114.211,37.982,5,114.211,37.982,8.17416382687,1564.76951921,347.940783149,1,114.211,37.982
2,#851d00,#851d00,Client,28-AUG-2014,,,,,LONDON,,,HOLMAN FENWICK WILLAN LLP,761,,UNITED KINGDOM,,,,,,"HOLMAN, FENWICK & WILLAN (LONDON)",,,HOLMAN FENWICK WILLAN LLP,,,,,,,,,,,ACTIVE,,,,registered,34,Company,34,,,,,,,,,34,3,31,True,0,0,3,True,top-right,#fff,,FontAwesome,1,587847,HOLMAN FENWICK WILLAN LLP,True,-192.759,83.579,5,-192.759,83.579,8.17416382687,997.306452461,432.231148509,1,-192.759,83.579
3,#be4400,#be4400,Officer,,,,,NO,,,,,,,,,,,,,,,,Sheikha bint Khalifa bin Zayid,,,Y,YES,,,,,,,,,,,registered address,1,Address,1,is officer of,14.0,Company,14.0,,,,,15,1,14,True,0,0,1,True,top-right,#fff,,FontAwesome,1,653764,Sheikha bint Khalifa bin Zayid,True,113.648,22.23,5,113.648,22.23,8.17416382687,1563.72876048,318.821721913,1,113.648,22.23
4,#be4400,#be4400,Officer,,,,,,,,,,,,,,,,,,,,,Khalifa bin Zayed bin Sultan Al Nahyan,,,,,,,,,,,,,,,is officer of,30,Company,30,,,,,,,,,30,1,29,True,0,0,1,True,top-right,#fff,,FontAwesome,1,667752,Khalifa bin Zayed bin Sultan Al Nahyan,True,113.648,6.479,5,113.648,6.479,8.17416382687,1563.72876048,289.704509272,1,113.648,6.479
5,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,548220,,,BVI,SUMMIT ESTATES LIMITED,,,,,,,,17-JUL-2002,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,,,,,6,4,2,True,0,0,4,True,top-right,#fff,,FontAwesome,1,1318,SUMMIT ESTATES LIMITED,True,-163.353,168.959,5,-163.353,168.959,8.17416382687,1051.66622358,590.064150558,1,-163.353,168.959
6,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,583804,,,BVI,KNIGHTSBRIDGE GREEN LIMITED,,,,,,,,10-JAN-2007,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,0,4,True,0,0,0,False,top-right,#fff,,FontAwesome,1,1431,KNIGHTSBRIDGE GREEN LIMITED,True,-164.574,63.533,5,-164.574,63.533,8.17416382687,1049.40908964,395.174222307,1,-164.574,63.533
7,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521579,,,BVI,BRUTON PROPERTIES LIMITED,,,,,,,,16-APR-1997,,,ACT,,,,is officer of,4,Officer,4,registered,1.0,Client,1.0,,,,,5,1,4,True,0,0,1,True,top-right,#fff,,FontAwesome,1,7950,BRUTON PROPERTIES LIMITED,True,-161.998,-54.276,5,-161.998,-54.276,8.17416382687,1054.17106919,177.393147835,1,-161.998,-54.276
8,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,6039094,,,BVI,Qusiwrah Investments Limited,,,,,,,,04-MAR-2014,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,1,3,True,0,0,1,True,top-right,#fff,,FontAwesome,1,9109,Qusiwrah Investments Limited,True,-163.353,127.032,5,-163.353,127.032,8.17416382687,1051.66622358,512.55812717,1,-163.353,127.032
9,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,521578,,,BVI,KNIGHTSBRIDGE ESTATES LIMITED (EX-BRUTON ESTATES LIMITED),,,,,,,,16-APR-1997,,,ACT,,,,is officer of,3,Officer,3,registered,1.0,Client,1.0,,,,,4,2,2,True,0,0,2,True,top-right,#fff,,FontAwesome,1,17187,KNIGHTSBRIDGE ESTATES LIMITED (EX-BRUTON ESTATES LIMITED),True,-163.76,52.949,5,-163.76,52.949,8.17416382687,1050.9138456,375.608697668,1,-163.76,52.949
