,active,color,data.properties.name,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target
0,False,#d48a60,Beneficiay,is officer of,,60664,is officer of,2,6.71967257343,1,658458,77977
1,False,#d48a60,Shareholder,is officer of,,591630,is officer of,2,6.71967257343,1,422292,77977
2,False,#d48a60,Shareholder,is officer of,,591631,is officer of,2,6.71967257343,1,456287,77977
3,False,#d48a60,Shareholder,is officer of,False,591632,is officer of,2,6.71967257343,1,422291,77977
4,False,#d48a60,Shareholder,is officer of,,591633,is officer of,2,6.71967257343,1,422293,77977
5,False,#d48a60,Shareholder,is officer of,,591634,is officer of,2,6.71967257343,1,422294,77977
6,False,#8a6960,,registered,,618657,registered,2,6.71967257343,1,592702,77977
7,False,#d48a60,Director,is officer of,,70472,is officer of,2,6.71967257343,1,667757,456287
8,False,#d48a60,Shareholder,is officer of,,592052,is officer of,2,6.71967257343,1,456287,130448
9,False,#8a6960,,registered,,634215,registered,2,6.71967257343,1,592702,130448
10,False,#d48a60,Director,is officer of,,70471,is officer of,2,6.71967257343,1,667757,363839
11,False,#d48a60,Director,is officer of,,70473,is officer of,2,6.71967257343,1,667757,354836
12,False,#d48a60,Director,is officer of,,70474,is officer of,2,6.71967257343,1,667757,354835
13,False,#d48a60,Director,is officer of,,70475,is officer of,2,6.71967257343,1,667757,363838
14,False,#d48a60,Shareholder,is officer of,,592053,is officer of,2,6.71967257343,1,363838,130448
15,False,#d48a60,Shareholder,is officer of,,592051,is officer of,2,6.71967257343,1,476586,130448
16,False,#d48a60,Shareholder,is officer of,,592054,is officer of,2,6.71967257343,1,476615,130448
17,False,#baaba3,,registered address,,262997,registered address,2,6.71967257343,1,354836,544707
18,False,#baaba3,,registered address,,288452,registered address,2,6.71967257343,1,354835,544707
19,False,#d48a60,Shareholder,is officer of,,441643,is officer of,2,6.71967257343,1,354836,10485
20,False,#d48a60,Shareholder,is officer of,,441644,is officer of,2,6.71967257343,1,354835,10485
21,False,#8a6960,,registered,,713896,registered,2,6.71967257343,1,592702,10485
22,False,#baaba3,,registered address,,246577,registered address,2,6.71967257343,1,363839,509189
23,False,#baaba3,,registered address,,306731,registered address,2,6.71967257343,1,363838,509189
24,False,#d48a60,Shareholder,is officer of,,466692,is officer of,2,6.71967257343,1,363839,7256
25,False,#d48a60,Shareholder,is officer of,,466693,is officer of,2,6.71967257343,1,363838,7256
26,False,#8a6960,,registered,,723205,registered,2,6.71967257343,1,592702,7256
27,False,#d48a60,Shareholder,is officer of,,466691,is officer of,2,6.71967257343,1,363837,7256
28,False,#baaba3,,registered address,,868881,registered address,2,6.71967257343,1,363837,509189
