,active,cc.y,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.properties.simil,data.type,hover,id,label,read_cam0:size,renderer1:size,selected,size,source,target,type
0,False,,#baaba3,,,,,registered address,False,833802,registered address,2,12.6191468896,,1,375491,500209,
1,False,,#d48a60,,,Shareholder,,is officer of,False,539174,Shareholder,2,12.6191468896,,1,375491,51918,
2,,,#d48a60,,03/05/2007,Shareholder,,is officer of,False,69523,Shareholder,2,12.6191468896,,1,667755,51918,
3,,,#8a6960,,,,,registered,False,725390,registered,2,12.6191468896,,1,582980,51918,
0,False,,#8a6960,,,,,registered,,674801,registered,2,12.6191468896,,1,588485,61851,
1,False,,#d48a60,,,Shareholder,,is officer of,,39315,Shareholder,2,12.6191468896,,1,455430,61851,
2,True,,#d48a60,,21/01/2009,Power of attorney,,is officer of,,69522,Power of attorney,2,12.6191468896,True,1,667754,61851,
0,False,,#baaba3,,,,,registered address,,255876,registered address,2,7.67308709675,,1,467936,525230,
1,False,,#8a6960,,,,,registered,,768215,registered,2,7.67308709675,,1,586932,16835,
2,,,#d48a60,,,Beneficiay,,is officer of,,62679,Beneficiay,2,7.67308709675,,1,662786,16835,
3,,,#d48a60,,,Beneficial Owner,,is officer of,,68550,Beneficial Owner,2,7.67308709675,,1,467936,16835,curvedArrow
4,,,#d48a60,,,Shareholder,,is officer of,,428634,Shareholder,2,7.67308709675,,1,467931,16835,
5,,,#d48a60,,,Shareholder,,is officer of,,428635,Shareholder,2,7.67308709675,,1,467933,16835,
6,,,#d48a60,,,Shareholder,,is officer of,,428636,Shareholder,2,7.67308709675,,1,467932,16835,
7,,,#d48a60,,,Shareholder,,is officer of,,428637,Shareholder,2,7.67308709675,,1,467934,16835,
8,,2.0,#d48a60,,,Shareholder,,is officer of,,428638,Shareholder,2,7.67308709675,,1,467936,16835,curvedArrow
9,,,#d48a60,,,Shareholder,,is officer of,,428639,Shareholder,2,7.67308709675,,1,344591,16835,
10,,,#d48a60,,,Shareholder,,is officer of,,428640,Shareholder,2,7.67308709675,,1,467930,16835,
0,False,,#8a6960,,,,,registered,False,633114,registered,2,11.2211147876,,1,586541,33065,
1,False,,#8a6960,,,,,registered,False,794699,registered,2,11.2211147876,,1,586541,142697,
2,False,,#baaba3,,,,,registered address,False,866313,registered address,2,11.2211147876,,1,499449,576128,
3,False,,#baaba3,,,,,registered address,False,247339,registered address,2,11.2211147876,,1,499532,541420,
4,False,,#baaba3,,,,,registered address,False,836097,registered address,2,11.2211147876,,1,499500,541419,
5,False,,#d48a60,,,Director,,is officer of,False,68578,Director,2,11.2211147876,,1,499449,142697,curvedArrow
6,False,,#d48a60,,,Director,,is officer of,False,68579,Director,2,11.2211147876,,1,499449,33065,
7,False,,#d48a60,,,Shareholder,,is officer of,False,490929,Shareholder,2,11.2211147876,,1,497961,142697,
8,False,,#d48a60,,,Shareholder,,is officer of,False,490930,Shareholder,2,11.2211147876,,1,499531,142697,
9,False,,#d48a60,,,Shareholder,,is officer of,False,490931,Shareholder,2,11.2211147876,,1,499532,142697,
10,False,,#d48a60,,,Shareholder,,is officer of,False,490932,Shareholder,2,11.2211147876,,1,499500,142697,
11,False,2.0,#d48a60,,,Shareholder,,is officer of,,490933,Shareholder,2,11.2211147876,,1,499449,142697,curvedArrow
12,False,,#d48a60,,,Shareholder,,is officer of,False,438564,Shareholder,2,11.2211147876,,1,358328,33065,
0,False,,#d48a60,,,Connected,,is officer of,,69546,is officer of,2,10.6015859239,,1,667772,183324,
1,False,,#d48a60,2005,,Connected,,is officer of,,69547,is officer of,2,10.6015859239,,1,667772,221347,
2,False,,#d48a60,,,First beneficiary,,is officer of,,69548,is officer of,2,10.6015859239,,1,667772,168837,
3,False,,#d48a60,,11/08/2013,Shareholder (through Julex Foundation),,is officer of,,69549,is officer of,2,10.6015859239,,1,667772,252265,
