,active,cc.y,color,data.properties.name,data.properties.simil,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target,type
0,False,,#8a6960,,,registered,False,676984,registered,2,2.99793627737,1,580756,60322,
1,False,,#8a6960,,,registered,False,683140,registered,2,2.99793627737,1,580756,214942,
2,False,,#8a6960,,,registered,False,688338,registered,2,2.99793627737,1,580756,180522,
3,False,,#8a6960,,,registered,False,688605,registered,2,2.99793627737,1,580756,261132,
4,False,,#8a6960,,,registered,False,689004,registered,2,2.99793627737,1,580756,83987,
5,False,,#8a6960,,,registered,False,691294,registered,2,2.99793627737,1,580756,50332,
6,False,,#8a6960,,,registered,False,801045,registered,2,2.99793627737,1,580756,79778,
7,False,,#8a6960,,,registered,False,802574,registered,2,2.99793627737,1,580756,179421,
8,False,,#baaba3,,,registered address,False,820495,registered address,2,2.99793627737,1,310244,546367,
9,False,,#baaba3,,,registered address,False,330176,registered address,2,2.99793627737,1,654193,546367,
10,False,,#d48a60,,1.0,has similar name and address as,,879085,has similar name and address as,2,2.99793627737,1,310244,654193,
11,False,,#baaba3,,,registered address,,246768,registered address,2,2.99793627737,1,373051,536483,
12,False,,#8a6960,,,registered,,728306,registered,2,2.99793627737,1,590963,14909,
13,False,,#d48a60,Power of Attorney,,is officer of,False,68557,Power of Attorney,2,2.99793627737,1,310244,214942,curvedArrow
14,False,,#d48a60,Power of Attorney,,is officer of,False,68563,Power of Attorney,2,2.99793627737,1,354495,214942,
15,False,2.0,#d48a60,Shareholder,,is officer of,False,408026,Shareholder,2,2.99793627737,1,310244,214942,curvedArrow
16,False,,#d48a60,Shareholder,,is officer of,False,47805,Shareholder,2,2.99793627737,1,310244,261132,curvedArrow
17,False,,#d48a60,Shareholder,,is officer of,False,47806,Shareholder,2,2.99793627737,1,310243,261132,
18,False,,#d48a60,Shareholder,,is officer of,,47807,Shareholder,2,2.99793627737,1,310242,261132,
19,False,2.0,#d48a60,Power of Attorney,,is officer of,False,68556,Power of Attorney,2,2.99793627737,1,310244,261132,curvedArrow
20,False,,#d48a60,Power of Attorney,,is officer of,False,68562,Power of Attorney,2,2.99793627737,1,354495,261132,
21,False,,#baaba3,,,registered address,False,319007,registered address,2,2.99793627737,1,315956,529076,
22,False,,#d48a60,Shareholder,,is officer of,False,507494,Shareholder,2,2.99793627737,1,315956,179421,
23,False,,#d48a60,Shareholder,,is officer of,False,29078,Shareholder,2,2.99793627737,1,314881,180522,
24,False,,#d48a60,Shareholder,,is officer of,,29079,Shareholder,2,2.99793627737,1,314880,180522,
25,False,,#d48a60,Power of Attorney,,is officer of,False,68555,Power of Attorney,2,2.99793627737,1,310244,180522,
26,False,,#d48a60,Power of Attorney,,is officer of,False,68561,Power of Attorney,2,2.99793627737,1,354495,180522,
27,False,,#d48a60,Director (Rami Makhlouf),,is officer of,False,68552,Director (Rami Makhlouf),2,2.99793627737,1,310244,79778,
28,False,,#d48a60,Director (Rami Makhlouf),,is officer of,False,68558,Director (Rami Makhlouf),2,2.99793627737,1,354495,79778,
29,False,,#d48a60,Shareholder,,is officer of,False,507327,Shareholder,2,2.99793627737,1,312606,79778,
30,False,,#d48a60,Shareholder,,is officer of,False,507328,Shareholder,2,2.99793627737,1,312605,79778,
31,False,,#d48a60,Shareholder,,is officer of,False,507329,Shareholder,2,2.99793627737,1,312604,79778,
32,False,,#d48a60,Shareholder,,is officer of,,507330,Shareholder,2,2.99793627737,1,312607,79778,
33,False,,#d48a60,Shareholder,,is officer of,,498173,Shareholder,2,2.99793627737,1,353330,60322,
34,False,,#d48a60,Shareholder,,is officer of,,498174,Shareholder,2,2.99793627737,1,353666,60322,
35,False,,#d48a60,Shareholder,,is officer of,,498175,Shareholder,2,2.99793627737,1,354466,60322,
36,False,,#d48a60,Shareholder,,is officer of,False,498176,Shareholder,2,2.99793627737,1,313335,60322,
37,False,,#d48a60,Shareholder,,is officer of,False,498177,Shareholder,2,2.99793627737,1,313336,60322,
38,False,,#d48a60,Shareholder,,is officer of,,498178,Shareholder,2,2.99793627737,1,354495,60322,
39,False,,#d48a60,Shareholder,,is officer of,,498179,Shareholder,2,2.99793627737,1,313333,60322,
40,False,,#d48a60,Shareholder,,is officer of,,498180,Shareholder,2,2.99793627737,1,313334,60322,
41,False,,#d48a60,Director,,is officer of,,68485,Director,2,2.99793627737,1,373051,14909,curvedArrow
42,False,,#d48a60,Director,,is officer of,,68486,Director,2,2.99793627737,1,354466,14909,
43,False,2.0,#d48a60,Shareholder,,is officer of,,545791,Shareholder,2,2.99793627737,1,373051,14909,curvedArrow
44,False,,#d48a60,Shareholder,,is officer of,False,31165,Shareholder,2,2.99793627737,1,310244,50332,curvedArrow
45,False,,#d48a60,Beneficiay,,is officer of,,54152,Beneficiay,2,2.99793627737,1,654193,50332,
46,False,2.0,#d48a60,Director / Shareholder / Beneficial Owner,,is officer of,,68553,Director / Shareholder / Beneficial Owner,2,2.99793627737,1,310244,50332,curvedArrow
47,False,,#d48a60,Power of Attorney,,is officer of,,68554,Power of Attorney,2,2.99793627737,1,310244,83987,
48,False,,#d48a60,Director / Shareholder / Beneficial Owner,,is officer of,False,68559,Director / Shareholder / Beneficial Owner,2,2.99793627737,1,354495,50332,
49,False,,#d48a60,Power of Attorney,,is officer of,,68560,Power of Attorney,2,2.99793627737,1,354495,83987,
