,active,color,colors.0,data.categories.0,data.properties.active_since,data.properties.activity,data.properties.ceasedmembership,data.properties.certificateNumber,data.properties.citizenship,data.properties.city,data.properties.classification,data.properties.classofshares,data.properties.client_name,data.properties.client_number,data.properties.compliance_classification,data.properties.country,data.properties.cross_reference,data.properties.custodianaddress,data.properties.custodianname,data.properties.dateofissue,data.properties.file_number,data.properties.former_name,data.properties.inactivationDate,data.properties.jurisdiction,data.properties.name,data.properties.newcertificate,data.properties.numbershares,data.properties.pep,data.properties.prospect_date,data.properties.region,data.properties.registerlocation,data.properties.registrationDate,data.properties.rst,data.properties.sharestransferred,data.properties.status,data.properties.struck_off_date,data.properties.subclassification,data.properties.transferdate,data.statistics.digest.0.edgeType,data.statistics.digest.0.edges,data.statistics.digest.0.nodeCategories.0,data.statistics.digest.0.nodes,data.statistics.digest.1.edgeType,data.statistics.digest.1.edges,data.statistics.digest.1.nodeCategories.0,data.statistics.digest.1.nodes,data.statistics.edgeCount,data.statistics.hiddenEdgeCount,data.statistics.visibleEdgeCount,fixed,geo.latitudeDiff,geo.longitudeDiff,glyphs.0.content,glyphs.0.draw,glyphs.0.position,icon.color,icon.content,icon.font,icon.scale,id,label,nodelink.fixed,nodelink.x,nodelink.y,read_cam0:size,read_cam0:x,read_cam0:y,renderer1:size,renderer1:x,renderer1:y,selected,size,x,y
0,False,#be4400,#be4400,Officer,,,,,,,,,,,,,,,,,,,,,Mamadou Pouye,,,,,,,,,,,,,,is officer of,2,Company,2,,,,,2,0,2,True,0,0,0,False,top-right,#fff,,FontAwesome,1,667763,Mamadou Pouye,True,-23.907,1.199,5,-23.907,1.199,22.7416070647,1239.33294457,269.708497168,,1,-23.907,1.199
1,False,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,68105,,,PMA,LATVAE GROUP INC.,,,,,,,08-AUG-2012,,,ACT,,,,is officer of,2,Officer,2,registered,1.0,Client,1.0,3,0,3,,0,0,0,False,top-right,#fff,,FontAwesome,1,222255,LATVAE GROUP INC.,,10.652,-25.373,5,10.652,-25.373,22.7416070647,1468.88178385,93.2111518383,,1,10.652,-25.373
2,True,#420e00,#420e00,Company,,,,,,,,,,,,,,,,,50217,,,PMA,SEABURY INC.,,,,,,,27-AUG-2008,,,ACT,,,,is officer of,5,Officer,5,registered,1.0,Client,1.0,6,0,6,True,0,0,0,False,top-right,#fff,,FontAwesome,1,281770,SEABURY INC.,True,-30.488,31.257,5,-30.488,31.257,22.7416070647,1195.62042652,469.360657559,True,1,-30.488,31.257
3,False,#be4400,#be4400,Officer,,,,1,NO,,,,,,,,,,,08-08-2012,,,,,POUYE MAMADOU,,"10,000",NO,,,,,NOT NEGATIVE RESULT,,,,,,registered address,1,Address,1,is officer of,1.0,Company,1.0,2,0,2,True,0,0,0,False,top-right,#fff,,FontAwesome,1,467669,POUYE MAMADOU,True,-23.216,-24.644,5,-23.216,-24.644,22.7416070647,1243.92272576,98.0533377763,,1,-23.216,-24.644
4,False,#851d00,#851d00,Client,22-SEP-1998,,,,,DUBAI,,,HELENE MATHIEU LEGAL CONSULTANTS,10479,,UNITED ARAB EMIRATES,,,,,,,,,HELENE MATHIEU LEGAL CONSULTANTS,,,,,,,,,,ACTIVE,,,,registered,893,Company,893,,,,,893,891,2,,0,0,891,True,top-right,#fff,,FontAwesome,1,583381,HELENE MATHIEU LEGAL CONSULTANTS,,9.91,5.059,5,9.91,5.059,22.7416070647,1463.95324892,295.347506387,,1,9.91,5.059
5,False,#937c6f,#937c6f,Address,,,,,,,,,,,,,,,,,,,,,Point el Immeuble Bassari; Rez De Chaussee 1 ERE Porte droite; Dakar; Senegal,,,,,,,,,,,,,,registered address,1,Officer,1,,,,,1,0,1,True,0,0,0,False,top-right,#fff,,FontAwesome,1,560357,Point el Immeuble Bassari; Rez De Chaussee 1 ERE Porte droite; Dakar; Senegal,True,-50.165,-11.792,5,-50.165,-11.792,22.7416070647,1064.92125958,183.419282461,,1,-50.165,-11.792
6,False,#be4400,#be4400,Officer,,,,1,NO,,,,,,,,,,,11-11-2008,,,,,THE BEARER,,1,NO,,,,,NOT NEGATIVE RESULT,,,,,,is officer of,1,Company,1,,,,,1,0,1,,0,0,0,False,top-right,#fff,,FontAwesome,1,453645,THE BEARER,,14.596,36.304,5,14.596,36.304,22.7416070647,1495.07874042,502.883994224,,1,14.596,36.304
7,False,#be4400,#be4400,Officer,,,,2,NO,,,,,,,,,,,11-11-2008,,,,,THE BEARER,,1,NO,,,,,NOT NEGATIVE RESULT,,,,,,is officer of,1,Company,1,,,,,1,0,1,,0,0,0,False,top-right,#fff,,FontAwesome,1,453646,THE BEARER,,-41.103,51.3,5,-41.103,51.3,22.7416070647,1125.11315117,602.490880818,,1,-41.103,51.3
8,False,#be4400,#be4400,Officer,,,,3,NO,,,,,,,,,,,11-11-2008,,,,,THE BEARER,,1,NO,,,,,NOT NEGATIVE RESULT,,,,,,is officer of,1,Company,1,,,,,1,0,1,True,0,0,0,False,top-right,#fff,,FontAwesome,1,453647,THE BEARER,True,-4.088,54.657,5,-4.088,54.657,22.7416070647,1370.97530823,624.788848162,,1,-4.088,54.657
9,False,#be4400,#be4400,Officer,,,,4,NO,,,,,,,,,,,11-11-2008,,,,,THE BEARER,,1,NO,,,,,NOT NEGATIVE RESULT,,,,,,is officer of,1,Company,1,,,,,1,0,1,,0,0,0,False,top-right,#fff,,FontAwesome,1,453648,THE BEARER,,-41.709,13.722,5,-41.709,13.722,22.7416070647,1121.08795957,352.889148062,,1,-41.709,13.722
