,active,cc.y,color,data.properties.name,data.type,hover,id,label,read_cam0:size,renderer1:size,size,source,target,type
0,False,,#8a6960,,registered,,805498,registered,2,3.72989529473,1,588461,95824,
1,False,,#8a6960,,registered,,628950,registered,2,3.72989529473,1,594173,183658,
2,False,,#8a6960,,registered,,629179,registered,2,3.72989529473,1,594173,94400,
3,False,,#8a6960,,registered,,634061,registered,2,3.72989529473,1,594173,150577,
4,False,,#8a6960,,registered,,736000,registered,2,3.72989529473,1,594173,250268,
5,False,,#8a6960,,registered,False,805599,registered,2,3.72989529473,1,593593,185879,
6,False,,#baaba3,,registered address,,249608,registered address,2,3.72989529473,1,344068,525365,
7,False,,#baaba3,,registered address,,241070,registered address,2,3.72989529473,1,345111,576977,
8,False,,#baaba3,,registered address,,248925,registered address,2,3.72989529473,1,345113,576977,
9,False,,#baaba3,,registered address,,322134,registered address,2,3.72989529473,1,345112,576977,
10,False,,#baaba3,,registered address,,871173,registered address,2,3.72989529473,1,345108,576977,
11,False,,#baaba3,,registered address,,871673,registered address,2,3.72989529473,1,345107,576977,
12,False,,#baaba3,,registered address,,286881,registered address,2,3.72989529473,1,380589,521276,
13,False,,#baaba3,,registered address,,815652,registered address,2,3.72989529473,1,380588,521276,
14,False,,#baaba3,,registered address,,292878,registered address,2,3.72989529473,1,493221,521277,
15,False,,#d48a60,Shareholder,is officer of,,35811,Shareholder,2,3.72989529473,1,648268,95824,
16,False,,#d48a60,Shareholder,is officer of,,35812,Shareholder,2,3.72989529473,1,344068,95824,curvedArrow
17,False,,#d48a60,Director,is officer of,False,68423,Director,2,3.72989529473,1,344068,94400,
18,False,,#d48a60,Director,is officer of,False,68424,Director,2,3.72989529473,1,344068,183658,
19,False,,#d48a60,Director,is officer of,False,68425,Director,2,3.72989529473,1,344068,250268,
20,False,,#d48a60,Director,is officer of,,68426,Director,2,3.72989529473,1,344068,150577,
21,False,2.0,#d48a60,Director,is officer of,,68427,Director,2,3.72989529473,1,344068,95824,curvedArrow
22,False,,#d48a60,Director,is officer of,False,68428,Director,2,3.72989529473,1,380588,94400,
23,False,,#d48a60,Director,is officer of,False,68429,Director,2,3.72989529473,1,380588,183658,
24,False,,#d48a60,Director,is officer of,False,68430,Director,2,3.72989529473,1,380588,250268,curvedArrow
25,False,,#d48a60,Director,is officer of,,68431,Director,2,3.72989529473,1,380588,150577,
26,False,,#d48a60,Director,is officer of,,68432,Director,2,3.72989529473,1,380588,95824,
27,False,2.0,#d48a60,Shareholder,is officer of,,543604,Shareholder,2,3.72989529473,1,380588,250268,curvedArrow
28,False,,#d48a60,Shareholder,is officer of,False,543603,Shareholder,2,3.72989529473,1,380589,250268,
29,False,,#d48a60,Shareholder,is officer of,,419147,Shareholder,2,3.72989529473,1,493016,94400,
30,False,,#d48a60,Shareholder,is officer of,,483771,Shareholder,2,3.72989529473,1,493020,183658,
31,False,,#d48a60,Shareholder,is officer of,,483773,Shareholder,2,3.72989529473,1,493022,183658,
32,False,,#d48a60,Shareholder,is officer of,,483774,Shareholder,2,3.72989529473,1,493021,183658,
33,False,,#d48a60,Shareholder,is officer of,,483793,Shareholder,2,3.72989529473,1,493221,150577,
34,,,#d48a60,Shareholder,is officer of,,531345,Shareholder,2,3.72989529473,1,345107,185879,
35,,,#d48a60,Shareholder,is officer of,,531346,Shareholder,2,3.72989529473,1,345108,185879,
36,,,#d48a60,Shareholder,is officer of,,531347,Shareholder,2,3.72989529473,1,345111,185879,
37,,,#d48a60,Shareholder,is officer of,,531348,Shareholder,2,3.72989529473,1,345112,185879,
38,,,#d48a60,Shareholder,is officer of,,531349,Shareholder,2,3.72989529473,1,345113,185879,
