id,fieldname,text
4,story-title,"Der ehemalige Politiker und Minister, Frankreich"
4,story-subtitle,Jérôme Cahuzac
4,story-image-if-linked-person,
4,story-narrative,"Jérôme Cahuzac war Besitzer von Cerman Group Limited, einer Firma auf den Seychellen, die 2009 eingetragen wurde. Laut Recherchen des ICIJ hat die Anwaltskanzlei Mossack Fonseca (MF) den Minister gewähren lassen, als die französischen Ermittler bereits Untersuchungen wegen Steuerbetrugs gegen ihn führten. Erst als die Behörden der Seychellen anklopften, nahm MF Cahuzacs Briefkastenfirma genauer unter die Lupe. Am 3. Mai 2013 meldete MF den Behörden der Seychellen, dass sie die Geschäftsbeziehung mit Cahuzacs Firma beendet hätten, und zwar wegen des «hohen Risikos» und weil er als «politisch exponierte Person» eingestuft sei."
4,story-narrative-summary,"Eine Offshore Firma verwaltet Bankkonten von Cahuzac, der wegen Steuerbetrugs angeklagt ist."
4,story-biography,"Jérôme Cahuzacs Absturz im Jahr 2013 war spektakulär. Der Minister musste gestehen, dass er den französischen Präsidenten François Hollande, seine ehemalige Kollegen im Parlament und die französische Bevölkerung angelogen hatte. Er hatte mehrfach beteuert, keine ausländischen Bankkonten zu besitzen. Tatsächlich aber hat der Politiker über 600'000 Euro während 20 Jahren auf einem Schweizer Bankkonto versteckt und 2009 das Geld nach Singapur verschoben. Seine Ex-Frau sagte zudem, dass sie 1997 ein Konto in Grossbritannien eröffnet hätten. Cahuzac, der sein Vermögen als Schönheitschirurg verdiente, trat als Minister zurück. Er wartet auf einen Prozess wegen Steuerhinterziehung."
4,story-category-code,2
4,story-priority,42
4,story-region-codes,4
4,story-country-1-code,FRA
4,story-country-1-name,Frankreich
4,story-document-1-title,Letter to Financial Intelligence Group
4,story-document-2-title,Cahuzac's ID
4,story-document-1-url,https://www.documentcloud.org/documents/2777888-Cahuzac-Jeromedoc1.html
4,story-document-2-url,https://www.documentcloud.org/documents/2777889-Cahuzac-Jeromedoc2.html
4,data-person-1-name,Jérôme Cahuzac
4,data-person-1-description-if-politician,"Finanzminister im Ministerium für Wirtschaft, Finanzen und Aussenhandel (2012–2013); Abgeordneter (1997–2002, 2007–2012)"
4,data-person-1-relationship,
4,data-person-1-image,J_Cahuzac.png
4,data-person-1-viz-publish,77c55dda
4,data-person-1-comment,"Der Anwalt von Cahuzac sagt ICIJ-Partner «Le Monde», dass sein Mandant sich Erklärungen für seinen Prozess im September 2016 aufspare. Die Anhänger des Ex-Ministers wiederholen, dass er für Finanzstrukturen nicht verantwortlich sei, die seine Berater aufgebaut hätten."
8,story-title,"Der Chef des staatlichen Ölkonzerns, Kongo"
8,story-subtitle,Bruno Jean-Richard Itoua
8,story-image-if-linked-person,
8,story-narrative,"Bruno Jean Richard Itoua hatte 2004 die Vollmacht von zwei Offshore-Firmen – zugleich war er Energieberater des Präsidenten. Die beiden Firmen stellten Inhaberaktien aus. Die Firma gehörte also den Personen, welche diese Aktien in ihren Tresoren hatten. Diese Form wird normalerweise benutzt, um die Namen der Eigentümer geheim zu halten. Die beiden Firmen wurden 2006 bzw. 2007 aufgelöst."
8,story-narrative-summary,Itoua hatte Vollmachten von Offshore-Firmen während er Energieberater des Präsidenten und Chef der staatlichen Ölfirma war.
8,story-biography,"Seinen Aufstieg in der Republik Kongo verdankt Bruno Jean-Richard Itoua seinen Verbindungen zur Familie des Präsidenten Denis Sassou-Nguesso. Er war zunächst Berater des Präsidenten, ab 1998 Leiter des staatlichen Ölkonzerns (SNPC). 2003 kam ans Licht, dass Itoua in die Veruntreuung von Firmenvermögen involviert war. Zwei Jahre später reichte einer der Gläubiger von SNPC Klage ein. Itoua und der Konzern SNPC hätten Öleinnahmen abgezweigt und zwar «in die Taschen von mächtigen kongolesischen Beamten», hiess es. 2007 entschied ein US-Gericht, für die Klage gegen SNPC nicht zuständig zu sein."
8,story-category-code,2
8,story-priority,58
8,story-region-codes,3
8,story-country-1-code,COG
8,story-country-1-name,Kongo
8,story-document-1-title,Power of attorney for Denvest
8,story-document-2-title,Power of attorney for Grafin
8,story-document-3-title,Itoua's passport
8,story-document-1-url,https://www.documentcloud.org/documents/2765588-Itoua-Brunodoc1.html
8,story-document-2-url,https://www.documentcloud.org/documents/2771524-Itoua-Brunodoc2.html
8,story-document-3-url,https://www.documentcloud.org/documents/2777823-Itoua-Brunodoc3.html
8,data-person-1-name,Bruno Jean-Richard Itoua
8,data-person-1-description-if-politician,Minister für Energie und Hydraulik (2005–2011); Minister für wissenschaftliche Forschung und technische Innovation (2011 bis heute)
8,data-person-1-relationship,
8,data-person-1-image,B_Itoua.png
8,data-person-1-viz-publish,8ab6fd85
8,data-person-1-comment,Itoua wollte auf Fragen nicht antworten.
10,story-title,Der Ex-Geheimdienstchef von Ruanda
10,story-subtitle,Emmanuel Ndahiro
10,story-image-if-linked-person,
10,story-narrative,"Emmanuel Ndahiro wurde im September 1998 Direktor der Firma Debden Investments Limited auf den Britischen Jungferninsel (BVI). In diesem Jahr war Ndahiro regelmässig in internationalen Medien als Sprecher der ruandischen Armee zu sehen. Berichten zufolge besass die Firma Debden ein Düsenflugzeug. Die Firma gehörte Hatari Sekoko, einem ehemaligen Soldaten der Rwandan Patriotic Front und mittlerweile wichtiger Geschäftsmann. Die Firma wurde 2010 deaktiviert."
10,story-narrative-summary,"Ndahiro ist Direktor einer Offshore-Firma, die einem Armeekollegen gehört."
10,story-biography,"Brigadegeneral Emmanuel Ndahiro ist ein Vertrauter des ruandischen Präsidenten Paul Kagame und war schon als Arzt, Sicherheitsberater und Sprecher des Präsidenten tätig. Er diente auch als Armeesprecher in der Zeit, als Kagame Verteidigungsminister war. Ndahiro leitete Ruandas Geheimdienste und Sicherheitsbehörden von 2004–2011. Im Jahr 2015 wurde er zum Brigadegeneral befördert."
10,story-category-code,2
10,story-priority,60
10,story-region-codes,3
10,story-country-1-code,RWA
10,story-country-1-name,Ruanda
10,story-document-1-title,Ndahiro is appointed a director.
10,story-document-1-url,https://www.documentcloud.org/documents/2778397-Ndahiro-Emmanueldoc1.html
10,data-person-1-name,Emmanuel Ndahiro
10,data-person-1-description-if-politician,Brigadegeneral (2015 bis heute); Chef des ruandischen Geheimdienstes (2004–2011)
10,data-person-1-relationship,
10,data-person-1-image,E_Ndahiro.png
10,data-person-1-viz-publish,7bd6ba22
10,data-person-1-comment,Ndahiro und Sekoko haben auf die wiederholten Anfragen nicht reagiert.
12,story-title,Der Ex-Leiter des peruanischen Geheimdienstes
12,story-subtitle,César Almeyda
12,story-image-if-linked-person,
12,story-narrative,"César Almeyda war Direktor einer Offshore-Firma namens Trei Investments Corp. Sie wurde 1999 in Panama registriert – seither wurden keine Gebühren bezahlt und auch keine Aktivitäten registriert. Der ehemalige Geheimdienstchef war seit der Gründung Direktor und Sekretär, er war als Hauptkontakt für das Geschäft eingetragen. 2004 realisieren Mitarbeiter der Anwaltskanzlei Mossack Fonseca (MF) durch Zeitungsartikel, dass César Almeyda als Beamter für den peruanischen Präsidenten arbeitet. Der Artikel brachte ihn in Zusammenhang mit einem Korruptionsfall und mit einer darin verwickelten Offshore-Firma, die von MF registriert wurde. Obwohl MF als Bevollmächtigter kündigte, erschien die Firma im öffentlichen Register von Panama noch im Dezember 2015 – mit César Almeyda als Direktor."
12,story-narrative-summary,Almeydas Offshore-Firmen stehen in Verbindung zu einem Korruptionsfall
12,story-biography,"César Almeyda war Anwalt und Berater des peruanischen Präsidenten Alejandro Toledo. Im Jahr 2003 diente Almeyda dem Präsidenten für drei Monate als Geheimdienstchef. Er war in verschiedene Skandale verwickelt. Zum Beispiel wurde eine Unterhaltung von ihm aufgezeichnet, in der er mit einem bestochenen Richter über einen flüchtigen Armeegeneral diskutierte, der wegen Korruption gesucht wurde. Unter anderem deswegen kam Almeyda knapp 34 Monate ins Gefängnis. Er wurde 2006 entlassen. Ein Jahr später wurde er zu vier weiteren Jahren verurteilt, die er zum Teil in Form von Hausarrest absass. 2010 kam die Frage auf, ob Almeyda Bankkonten in Steueroasen in Übersee besitze – was er entschieden bestritt und darauf verwies, dass Ermittlungen bereits 2004 nichts zutage gefördert hatten."
12,story-category-code,2
12,story-priority,37
12,story-region-codes,2
12,story-country-1-code,PER
12,story-country-1-name,Peru
12,story-document-1-title,Almeyda firm was Mossack Fonseca's contact for Trei Investments Corp
12,story-document-2-title,"Almeyda, director and secretary of Trei Investments Corp."
12,story-document-1-url,https://www.documentcloud.org/documents/2778181-Almeyda-Cesardoc1.html
12,story-document-2-url,https://www.documentcloud.org/documents/2778173-Almeyda-Cesardoc2.html
12,data-person-1-name,César Almeyda
12,data-person-1-description-if-politician,Vorsitzende des Geheimdienstrates von Peru (2003); Präsident des Institutes für Wettbewerb und Urheberrechtsschutz (2002-2003)
12,data-person-1-relationship,
12,data-person-1-image,C_Almeyda.png
12,data-person-1-viz-publish,ff9bbc4d
12,data-person-1-comment,Trotz zahlreichen Versuchen konnte das ICIJ Almeyda weder via E-Mail noch via Telefon nicht erreichen.
13,story-title,Der Sohn des Ex-Präsidenten Ghanas
13,story-subtitle,John Addo Kufuor
13,story-image-if-linked-person,Kufuor_Story.png
13,story-narrative,"Anfang 2001, kurz nachdem sein Vater Präsident geworden war, wurde John Addo Kufour Leiter der Stiftung The Excel 2000 Trust. Im Laufe jenes Jahres kontrollierte die Stiftung ein panamaisches Konto im Wert von 75'000 US-Dollar. Seine Mutter, Theresa Kufuor, die damalige Präsidentengattin, war ebenfalls Begünstigte. Ein MF-Angestellter schlug im November 2010 seinen Kollegen vor, «aufgrund der offensichtlichen Korruptionsvorwürfe» nicht mehr mit Kufour Geschäfte zu mache. Die Anwaltskanzlei Mossack Fonseca behielt Kufour jedoch als Kunden. 2012 liess er die Stiftung auflösen. In den Daten wird Kufour mit weiteren Firmen in Verbindung gebracht, auch während der Amtszeit seines Vater als Präsident."
13,story-narrative-summary,Kufuor wird mit einer Offshore-Stiftung in Verbindung gebracht.
