id,fieldname,text
1,story-title,Ex-prime minister of Iraq
1,story-subtitle,Ayad Allawi
1,story-image-if-linked-person,
1,story-narrative,"Mossack Fonseca supplied his 1985 Panama-registered company I.M.F. Holdings Inc. with people who stood in for Allawi as directors. He was listed as the sole shareholder in 2000. Until its dissolution in 2013, I.M.F. owned a house in Kingston upon Thames, England . As of April 2013 the property appeared under the name of Allawi and had an estimated value of about $1.5 million . Allawi’s other offshore company, Moonlight Estates Limited, also held a property in London on his behalf . Documents for this BVI-registered entity identify the source of funds as personal savings."
1,story-narrative-summary,Firms created in Panama held property in London
1,story-biography,"Ayad Allawi, a secular Shiite born to privilege, was active in Iraq’s ruling Baath Party until 1971, when he settled in London where he developed ties with both the U.S. Central Intelligence Agency and Britain’s M16 . In exile, he opposed Saddam Hussein, helped found an opposition party and survived a 1978 assassination attempt, which was widely believed to have been ordered by Hussein. Returning to Iraq, he was named prime minister in 2004 after the American-led coalition ended Hussein’s rule. Allawi has been active in Iraqi politics since, serving as vice president from 2014 until August, 2015 ."
1,story-category-code,0
1,story-priority,4
1,story-region-codes,6; 5; 4
1,story-country-1-code,IRQ
1,story-country-1-name,Iraq
1,story-country-2-code,GBR
1,story-country-2-name,United Kingdom
1,story-document-1-title,One of Allawi's properties
1,story-document-2-title,Register of directors for Moonlight
1,story-document-3-title,Dissolution of I.M.F. Holdings
1,story-document-4-title,Consent to act as director
1,story-document-5-title,Ayad Allawi's passport
1,story-document-1-url,https://www.documentcloud.org/documents/2771443-Allawi-Ayaddoc1.html
1,story-document-2-url,https://www.documentcloud.org/documents/2774271-Allawi-Ayaddoc2.html
1,story-document-3-url,https://www.documentcloud.org/documents/2774276-Allawi-Ayaddoc3.html
1,story-document-4-url,https://www.documentcloud.org/documents/2774307-Allawi-Ayaddoc4.html
1,story-document-5-url,https://www.documentcloud.org/documents/2774285-Allawi-Ayaddoc5.html
1,data-person-1-name,Ayad Allawi
1,data-person-1-description-if-politician,Vice-President of Iraq (2014-2015); Interim Prime Minister of Iraq (2004-2005)
1,data-person-1-relationship,
1,data-person-1-image,A_Allawi.png
1,data-person-1-viz-publish,45747ce9
1,data-person-1-comment,"Allawi's media office confirmed that he ""is the sole director and shareholder of Foxwood Estates Limited, Moonlight Estates Limited and IMF Holdings Inc."" The email noted that IMF was established to own residential property purchased with Allawi's personal assets based on security and legal advice ""in light of an assassination attempt on him."" It also said that ""any income generated in the United Kingdom from the properties owned by the companies has been properly accounted for"" and ""taxes have been paid promptly and on time."""
2,story-title,President of Ukraine
2,story-subtitle,Petro Poroshenko
2,story-image-if-linked-person,
2,story-narrative,"In August 2014, as Russian troops rolled into Eastern Ukraine, Poroshenko became the sole shareholder of Prime Asset Partners Limited, which Mossack Fonseca set up in the British Virgin Islands. A Cyprus law firm representing the newly acquired company described it as a “holding company of Cyprus and Ukrainian companies of the Roshen Group, one of the largest European manufacturers of confectionery products.” The firm wrote that, though Prime Assets Partners was for “a person involved in politics,” it had “nothing to do with his political activities."" During his 2015 presidential campaign, Poroshenko had pledged to sell most of his assets, all of which were transferred to Prime Assets Capital, according to a news account. In October 2014, a Ukrainian bank in which Poroshenko owns a majority stake, International Invest Bank, wrote a reference letter to Mossack Fonseca saying that his accounts there “have been conducted properly up to our satisfaction.”"
2,story-narrative-summary,Offshore firm holds assets including a European candy manufacturer
2,story-biography,"Petro Poroshenko, Ukraine’s billionaire “chocolate king,” whose corporate empire includes automotive plants, a shipyard, a TV channel and the country’s largest candy company, won the presidential election of 2014 by a landslide, a result widely attributed to his political acumen. Poroshenko has adroitly shifted his political affiliations over the years and avoided being tainted by Ukraine’s long line of corrupt leaders and oligarchs. Although he vowed to oppose the oligarchs and “prevent the inappropriate influence of private interests on the state,” critics are still waiting for him to deliver. A supporter of the 2004 pro-Europe, pro-democracy Orange Revolution, he also has positioned himself as a nationalist who could pursue peaceful relations with Russia."
2,story-category-code,0
2,story-priority,12
2,story-region-codes,4
2,story-country-1-code,UKR
2,story-country-1-name,Ukraine
2,story-document-1-title,Share register for Prime Asset
2,story-document-2-title,Poroshenko's passport
2,story-document-3-title,Memorandum of sole director
2,story-document-4-title,
2,story-document-1-url,https://www.documentcloud.org/documents/2765536-Poroshenko-Petrodoc1.html
2,story-document-2-url,https://www.documentcloud.org/documents/2771394-Poroshenko-Petrodoc2.html
2,story-document-3-url,https://www.documentcloud.org/documents/2765538-Poroshenko-Petrodoc3.html
2,story-document-4-url,
2,data-person-1-name,Petro Poroshenko
2,data-person-1-description-if-politician,President of Ukraine (2014-present); Economic Development and Trade Minister (2012)
2,data-person-1-relationship,
2,data-person-1-image,P_Poroshenko.png
2,data-person-1-viz-publish,c2b5aa82
2,data-person-1-comment,"A spokesman for Poroshenko said that creation of the trust and related corporate structures had no relation to political and military events in Ukraine. Although Poroshenko didn't include Prime Asset Partners in his financial disclosures, his financial advisers noted that neither Prime Asset Partners nor two related companies in Cyprus and the Netherlands hold assets. They said that the company was part of a corporate restructuring to help sell the Roshen group. The structure is in line with ""the market practice in Ukraine for businesses aiming to sell to strategic investors or to enter the capital markets, launch IPO, etc.,"" the advisers wrote. Although Poroshenko is the shareholder, his shares are managed by a licensed asset management company, and his assets have been held by an independently managed fund, Prime Asset Capital, since 2005, the advisers said. Those assets will be transferred to a ""blind trust"" once legal formalities are completed, according to the advisers."
3,story-title,Son of former United Nations secretary general
3,story-subtitle,Kojo Annan
3,story-image-if-linked-person,Annan_Story.png
3,story-narrative,"Kojo Annan was sole director of the Samoan company Sapphire Holding Ltd, originally incorporated in Niue in 2003, which he had used to buy an apartment in central London. The apartment was purchased in a transaction completed in 2003 for more than $500,000, according to U.K. records. Sapphire Holding used unnamed shareholders until 2015 when Kojo Annan became a listed shareholder with a Ghana address. Mossack Fonseca continued to communicate with Annan at the central London address, Argyll Mansions, into 2015. Kojo Annan was also a joint shareholder and director of two British Virgin Islands companies incorporated in 2002 ."
3,story-narrative-summary,"Offshore used to buy $500,000 London apartment"
