id,fieldname,text
1,story-title,Ex primer ministro de Irak
1,story-subtitle,Ayad Allawi
1,story-image-if-linked-person,
1,story-narrative,"Mossack Fonseca proporcionó testaferros a su sociedad panameña I.M.F. Holding, creada en 1985, para que fueran directores en lugar de Allawi, quien aparecía listado como accionista desde el año 2000. Hasta su disolución en 2013, I.M.F. tenía una propiedad en King upon Thames (Inglaterra), que en abril de ese año figuraba a nombre de Allawi, con valor estimado de 1,5 millones de dólares. Mediante su otra empresa offshore, Moonlight Estates Limited, Allawi también tenía una propiedad en Londres. Los documentos de esta entidad radicada en las Islas Vírgenes Británicas indican que los fondos provienen de ahorros personales."
1,story-narrative-summary,Sociedades creadas en Panamá con propiedades en Londres
1,story-biography,"Chií laico de familia acomodada, Ayad Allawi era miembro activo del Partido Baath que gobernó Irak hasta 1971. Entonces se afincó en Londres, donde creó conexiones con la Agencia Central de Inteligencia estadounidense y el M16 británico. En el exilio, se opuso a Saddam Hussein, ayudó a fundar un partido opositor y sobrevivió en 1978 a un intento de asesinato que se cree fue ordenado por Hussein. Al volver a Irak, fue nombrado primer ministro en 2004, después de que la coalición encabezada por Estados Unidos acabara con el régimen de Hussein. Allawi continúa en activo en la política iraquí. Fue vicepresidente desde 2014 hasta agosto de 2015."
1,story-category-code,0
1,story-priority,4
1,story-region-codes,6; 5; 4
1,story-country-1-code,IRQ
1,story-country-1-name,Irak
1,story-country-2-code,GBR
1,story-country-2-name,Reino Unido
1,story-document-1-title,One of Allawi's properties
1,story-document-2-title,Register of directors for Moonlight
1,story-document-3-title,Dissolution of I.M.F. Holdings
1,story-document-4-title,Consent to act as director
1,story-document-5-title,Ayad Allawi's passport
1,story-document-1-url,https://www.documentcloud.org/documents/2771443-Allawi-Ayaddoc1.html
1,story-document-2-url,https://www.documentcloud.org/documents/2774271-Allawi-Ayaddoc2.html
1,story-document-3-url,https://www.documentcloud.org/documents/2774276-Allawi-Ayaddoc3.html
1,story-document-4-url,https://www.documentcloud.org/documents/2774307-Allawi-Ayaddoc4.html
1,story-document-5-url,https://www.documentcloud.org/documents/2774285-Allawi-Ayaddoc5.html
1,data-person-1-name,Ayad Allawi
1,data-person-1-description-if-politician,"Vicepresidente de Irak (2014-2015), primer ministro interino de Irak (2004-2005)"
1,data-person-1-relationship,
1,data-person-1-image,A_Allawi.png
1,data-person-1-viz-publish,45747ce9
