id,fieldname,text
1,story-title,Ancien Premier ministre irakien
1,story-subtitle,Ayad Allawi
1,story-image-if-linked-person,
1,story-narrative,"Mossack Fonseca a fourni des administrateurs prête-noms à I.M.F. Holdings Inc., société immatriculée au Panama en 1985 dont Ayad Allawi (Iyad Allaoui) était actionnaire à 100 % en 2000. Jusqu’à sa dissolution en 2013, I.M.F. était propriétaire d’une demeure à Kingston upon Thames (Angleterre). En avril 2013, ce bien immobilier dont la valeur était estimée à environ 1,5 M$ était officiellement enregistré au nom d’Ayad Allawi. Son autre société offshore, Moonlight Estates Limited, possédait également un bien immobilier à Londres au nom de M. Allawi. La documentation relative à cette société immatriculée aux îles Vierges britanniques indique qu’elle était financée sur des fonds personnels."
1,story-narrative-summary,Des sociétés immatriculées au Panama possédaient une demeure à Londres
1,story-biography,"Jusqu’en 1971, Ayad Allawi, chiite laïc issu d’un milieu aisé, est membre du parti Baath au pouvoir en Iraq. Il s’installe ensuite à Londres, où il tisse des liens avec la CIA et les services de renseignement britanniques M16. Pendant cette période d’exil, il s’oppose à Saddam Hussein, participe à la fondation d’un parti d’opposition et survit en 1978 à une tentative d’assassinat vraisemblablement commanditée par Saddam Hussein. De retour en Irak, il est nommé Premier ministre en 2004 après le renversement de Saddam Hussein par la coalition menée par les Américains. M. Allawi participe depuis à la vie politique irakienne, occupant notamment le poste de vice-président entre 2014 et août 2015."
1,story-category-code,0
1,story-priority,4
1,story-region-codes,6; 5; 4
1,story-country-1-code,IRQ
1,story-country-1-name,Irak
1,story-country-2-code,GBR
1,story-country-2-name,Royaume-Uni
1,story-document-1-title,One of Allawi's properties
1,story-document-2-title,Register of directors for Moonlight
1,story-document-3-title,Dissolution of I.M.F. Holdings
1,story-document-4-title,Consent to act as director
1,story-document-5-title,Ayad Allawi's passport
1,story-document-1-url,https://www.documentcloud.org/documents/2771443-Allawi-Ayaddoc1.html
1,story-document-2-url,https://www.documentcloud.org/documents/2774271-Allawi-Ayaddoc2.html
1,story-document-3-url,https://www.documentcloud.org/documents/2774276-Allawi-Ayaddoc3.html
1,story-document-4-url,https://www.documentcloud.org/documents/2774307-Allawi-Ayaddoc4.html
1,story-document-5-url,https://www.documentcloud.org/documents/2774285-Allawi-Ayaddoc5.html
1,data-person-1-name,Ayad Allawi
1,data-person-1-description-if-politician,"Vice-président irakien (2014-2015), Premier ministre irakien par intérim (2004-2005)"
1,data-person-1-relationship,
1,data-person-1-image,A_Allawi.png
1,data-person-1-viz-publish,45747ce9
1,data-person-1-comment,"L’attaché de presse d’Iyad Allaoui confirme que celui-ci « est l’unique administrateur et actionnaire de Foxwood Estates Limited, Moonlight Estates Limited et IMF Holdings Inc ». Son courriel indiquait qu’IMF avait été créé pour la détention d’un bien immobilier acheté avec les fonds personnels de M. Allawi pour des questions de sécurité et de légalité, ainsi que cela lui avait été conseillé « compte tenu de la tentative d’assassinat dont il a fait l’objet ». Il ajoutait que « tous les revenus générés au Royaume-Uni par les propriétés détenues par les sociétés ont été dûment pris en compte » et que « les impôts ont été payés en temps et en heure »."
2,story-title,Président ukrainien
2,story-subtitle,Petro Poroshenko
