id,fieldname,text
1,story-title,Ex-primeiro-ministro do Iraque
1,story-subtitle,Ayad Allawi
1,story-image-if-linked-person,
1,story-narrative,"A Mossack Fonseca forneceu para a empresa I.M.F. Holdings, registrada no Panamá em 1985, pessoas que representaram Allawi como diretores. Ele era listado como único acionista em 2000. Até a sua dissolução em 2013, a I.M.F. era proprietária de uma casa em Kingston upon Thames, Inglaterra. Em abril de 2013 a propriedade passou a ser registrada em nome de Allawi e tinha valor estimado de cerca de US$ 1,5 milhão. Outra empresa offshore de Allawi, a Moonlight Estates Limited, também tinha uma propriedade em Londres em seu nome. Documentos dessa entidade registrada nas Ilhas Virgens Britânicas indicam que a fonte de seus recursos como poupança pessoal."
1,story-narrative-summary,Empresas criadas no Panamá detinham propriedades em Londres
1,story-biography,"Ayad Allawi, xiita secular de uma casta privilegiada, era bastante ativo dentro do Partido Baath até 1971, quando se estabeleceu em Londres, onde criou vínculos com a CIA e o M16 (serviço secreto britânico). No exílio, ele se opôs a Saddam Hussein, colaborou para a fundação de um partido de oposição e sobreviveu a uma tentativa de assassinato que, segundo crença geral, teria sido ordenado por Hussein. Retornando ao Iraque, ele foi nomeado primeiro-ministro em 2004, depois que a coalizão liderada pelos americanos pôs fim ao governo de Saddam. Allawi é um político atuante na política iraquiana desde então, servindo como vice-presidente de 2014 até agosto de 2015."
1,story-category-code,0
1,story-priority,4
1,story-region-codes,6; 5; 4
1,story-country-1-code,IRQ
1,story-country-1-name,Iraque
1,story-country-2-code,GBR
1,story-country-2-name,Reino Unido
1,story-document-1-title,One of Allawi's properties
1,story-document-2-title,Register of directors for Moonlight
1,story-document-3-title,Dissolution of I.M.F. Holdings
1,story-document-4-title,Consent to act as director
1,story-document-5-title,Ayad Allawi's passport
1,story-document-1-url,https://www.documentcloud.org/documents/2771443-Allawi-Ayaddoc1.html
1,story-document-2-url,https://www.documentcloud.org/documents/2774271-Allawi-Ayaddoc2.html
1,story-document-3-url,https://www.documentcloud.org/documents/2774276-Allawi-Ayaddoc3.html
1,story-document-4-url,https://www.documentcloud.org/documents/2774307-Allawi-Ayaddoc4.html
1,story-document-5-url,https://www.documentcloud.org/documents/2774285-Allawi-Ayaddoc5.html
1,data-person-1-name,Ayad Allawi
1,data-person-1-description-if-politician,"Vice-presidente do Iraque (2014-2015), primeiro ministro interino do Iraque (2004-2005)"
1,data-person-1-relationship,
1,data-person-1-image,A_Allawi.png
1,data-person-1-viz-publish,45747ce9
